Name,Bedrooms,Price,Location,Total_Area,Description,Baths,Balcony
"Tambaram Mount, West Tambaram,Chennai",2,75.0,"Tambaram Mount, West Tambaram,Chennai",1200,"This is a corner property on  the main road. Buyer can add additional storeys making it a Duplex house. Away from pollution, yet near to conveniences, just 2 KM from Tambaram Station. 200 metres south of the Maduravoyal Bypass. It has a garden with useful produce. Your neighbours work for top IT MNCs and are very peace-loving. Land area 2700 sqft(60X45). House is about 15 plus years old, but well maintained and ready to occupy with no monthly maintenance.  More About This Property A 2 BHK Independent House for sale in Tambaram, Chennai. Posted by Owner, No brokerage involved. This beautifully ...",3,Yes
"Building velachery ,Anna Nagar Extension, Velachery,Chennai",1,32.0,"Building velachery ,Anna Nagar Extension, Velachery,Chennai",590,"A 1 BHK Apartment for sale in Velachery, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Velachery's most desired properties. Contact now for more information. This 1 BHK unit is on floor 1. There are 1 floors in this property. The price of this Apartment is Rs 32.0 L. Maintenance charges come to Rs 1000. Each unit has a built-up area of 590 Square feet. The carpet area is 590 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near DAV School, Sangford School, and A S...",2,Yes
"Shri Vihar ,Sembakkam, Chennai",4,85.0,"Shri Vihar ,Sembakkam, Chennai",1570,"4 BHK Apartment for sale in Sembakkam, Chennai. This 4 BHK unit is available in Sembakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Sembakkam. It is on floor 1. The total number of floors is 1. The price of this Apartment is Rs 85.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Apartment unit with carpet area of 1350 Square feet. The built-up area is 1570 Square feet. There are 4 bedrooms and 3 b...",3,Yes
Indra Enclave,2,36.0,"Krishnaveni Nagar, Medavakkam,Chennai",808,"A 2 BHK Apartment for sale in Medavakkam, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Medavakkam's most desired properties. Contact now for more information. This 2 BHK unit is on floor 2. There are 2 floors in this property. The price of this Apartment is Rs 39.0 L. Each unit has a built-up area of 808 Square feet. This North-facing property has an excellent view. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near AKG Public School, BS Matriculation School, and Sahasras...",3,No
"Ma. Po. Si. Nagar, Thiruvallur,Chennai",3,50.0,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",1582,"3 BHK Independent House for sale in Chennai. This property is in Thiruvallur, which is a coveted investment location. This tastefully designed 3 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 50.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1582 Square feet. The carpet area is 1400 Square feet. This is a North facing property. It has 2 bathroom and 3 bedrooms. This is a gat...",3,Yes
"TNHB Colony, Villivakkam,Chennai",4,225.0,"TNHB Colony, Villivakkam,Chennai",2400,Independent house with seperate compound facing 30 feet road. Surrounded by coconut trees which gives cool atmosphere More About This Property One of the finest property in Villivakkam is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 2.25 Cr. This Independent House is spacious with a built-up area of 2400 Square feet. A separate servant room available in this Independent House. There are 4 bedrooms and 4 bathroom. This property ensures you are a quick distance away from the city's best schools su...,4,Yes
"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",3,160.0,"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",1350,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Raja Annamalai Puram. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 2 floors. This Apartment is available at a reasonable price of Rs 1.6 Cr. The built up area of this property is 1350 Square feet. There are 3 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Chettinad Vidhyashram School, P S Senior Secondary School, and ST Johns Matriculation Higher Secondary School. Medical facility ...",3,Yes
"Kandasamy Nagar, Porur,Chennai",3,65.0,"Kandasamy Nagar, Porur,Chennai",1400,"Looking for a 3 BHK Independent House for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Porur. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 65.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 1400 Square feet. There are 3 bedrooms and 4 bathroom. There are a number of reputed schools in the vicinity such as Devi Academy Senior Secondary School, Sarojini Varadappan Girl's Higher Secondary School, and Grace Matric Higher S...",3,Yes
"Viswas Castle,Urapakkam, Chennai",2,32.0,"Viswas Castle,Urapakkam, Chennai",950,"Looking for a good 2 BHK Apartment in Urapakkam, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 2. Maintenance charges of this property is Rs 500. This Apartment is available for Rs 32.0 L. This modern unit has a built-up area of 949 Square feet. The carpet area of this Apartment is 750 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Arokia Annai Hospital & Medicals Laboratory, Arokiya Hospital, and Nandivaram Government Hos...",3,No
"Puzhal, Chennai",2,55.0,"Puzhal, Chennai",850,"2 BHK Independent House for sale in Surapet, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Surapet which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Surapet. This 2 BHK Independent House is available at a reasonable price of Rs 55.0 L. Residents also need to pay maintenance charges of Rs 500. It is a very spacious property, spread over 600 Square feet. The built-up area is 850 Square feet. This property has provision for 2 bathro...",3,Yes
"Venkateshwara Nagar, Ramapuram,Chennai",2,54.0,"Venkateshwara Nagar, Ramapuram,Chennai",860,"Looking for a good 2 BHK Apartment in Ramapuram, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 7. Maintenance charges of this property is Rs 600. This Apartment is available for Rs 54.0 L. This modern unit has a built-up area of 860 Square feet. The carpet area of this Apartment is 700 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Apollo Hospitals, Greams Road, MIOT International, and Dr.Agarwals Eye Hospital, Porur. Esta...",3,No
"Velachery, Chennai",3,79.0,"Velachery, Chennai",1300,"3 BHK Apartment for sale in Velachery, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Velachery which is a promising investment destination in Chennai. This might be your chance to grab the best 3 BHK property for sale in Velachery. The property is on floor 0 and the total number of floors is 2. This 3 BHK Apartment is available at a reasonable price of Rs 79.0 L. The built-up area is 1300 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality...",3,Yes
Jayam Villa,2,85.0,"Ramakrishna Nagar, Raja Annamalai Puram,Chennai",780,"Property for sale in Raja Annamalai Puram, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 3. This Apartment's price is Rs 85.0 L. Homebuyers will also need to pay Rs 1000 towards maintenance. The built-up area is 780 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Apollo Spectra Hospitals, Apollo Spectra Hospitals, and Kauve...",2,No
"Kallikuppam, Ambattur,Chennai",2,67.0,"Kallikuppam, Ambattur,Chennai",1100,"2 BHK Independent House for sale in Ambattur, Chennai. This 2 BHK unit is available in Ambattur and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Ambattur. The price of this Independent House is Rs 67.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Independent House unit with carpet area of 600 Square feet. The built-up area is 1100 Square feet. There are 2 bedrooms and 3 bathroom. This property is at a ...",3,No
"AGS Colony, Adambakkam,Chennai",3,99.0,"AGS Colony, Adambakkam,Chennai",1193,"The Property is located in heart of Velachery area , But still purely residential. The property has lift & a Huge Car park which can Accommodate a Big SUV with 2-3 Bikes behind.",3,No
"Lakshmipuram, Kolathur,Chennai",3,120.0,"Lakshmipuram, Kolathur,Chennai",1350,"A 3 BHK Independent House for sale in Lakshmipuram, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Lakshmipuram's most desired properties. Contact now for more information. The price of this Independent House is Rs 1.2 Cr. Maintenance charges come to Rs 0. Each unit has a built-up area of 1350 Square feet. The carpet area is 1300 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Velammal Matriculation Higher Secondary School, Velammal Vidhyashram, and Narayana...",3,No
"Veera Vanchinathan Nagar, Perungudi,Chennai",2,75.0,"Veera Vanchinathan Nagar, Perungudi,Chennai",1200,"2 BHK Apartment for sale in Chennai. This property is in Perungudi, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 4. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 79.0 L. Monthly maintenance charges come to Rs 1500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1200 Square feet....",3,Yes
"Akshaya,Periyar Nagar, Perambur,Chennai",2,63.0,"Akshaya,Periyar Nagar, Perambur,Chennai",946,"2 BHK apartments for sale in Periyar nagar. 946 sq.ft. built up and 413 sq.ft. UDS. Building on 30 feet road. Total 2 floors and 10 apartments. Sale apartment is on 2nd floor. 2 bedroom both with Western style attached bathroom. 2 balconies. Separated Pooja room and washing machine room. False cealing, modular kitchen and covered storage space in all rooms. 1 covered car parking. Lift available and 24 hours water supply. Recently painted and well maintained. 5 min from Periyar nagar government hospital and 10 min from loco station. More About This Property One of the finest property in Perambu...",3,No
Ben Le Orchard Apartments,3,88.0,"Thirumangalam, Anna Nagar West,Chennai",1065,"*3 BHK with 2 washroom, 1 balcony, 1 covered car parking. ",3,Yes
Techcons Blue Alpha,1,26.86,"Mudichur, Chennai",580,"1 BHK Apartment for sale in Chennai. This property is in Mudichur, which is a coveted investment location. This tastefully designed 1 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 0. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 26.86 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 580 Square feet. It has 1 bathroom and 1 bedroom. Some of the ...",2,Yes
"Ramaniyam Gauravv ,Sholinganallur, Chennai",2,64.9,"Ramaniyam Gauravv ,Sholinganallur, Chennai",1160,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Chennai's top location, Sholinganallur. It is situated on floor 2. The total number of floors in this Apartment is 4. The property price of this unit is Rs 64.9 L. Monthly maintenance costs Rs 1350. The built-up area is 1160 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Narayana E-Techno School, Sholinganallur, Sacred Heart Matriculation Higher Secondary...",3,No
BSCPL Bollineni Iris,2,58.0,"Arasankazhani, Perumbakkam,Chennai",1055,"Well ventilated brand new apartment with separate utilitity area piped gas line More About This Property 2 BHK Apartment for sale in Perumbakkam, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Perumbakkam which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Perumbakkam. The property is on floor 4 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 58.0 L. Residents also need to pay maintenance c...",3,Yes
"Dharan Singh Colony, Vadapalani,Chennai",4,275.0,"Dharan Singh Colony, Vadapalani,Chennai",1940,"One of the finest property in Vadapalani is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 2.75 Cr. This Independent House is spacious with a built-up area of 1940 Square feet. It is a South-facing property with a good view. There are 4 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Chinmaya Vidyalaya Higher Secondary School, Pink Fitness - Ladies Gym Ashok Nagar, and Padma Seshadri Bala Bhavan Senior Secondary School. It is also c...",3,Yes
Amaar Ultra Amaar Avenue Phase 2,2,90.0,"Padmanabha Nagar, Choolaimedu,Chennai",938,"Looking for a 2 BHK Apartment for sale in Chennai? Your search ends here. Buy this 2 BHK property in Chennai's finest location, Choolaimedu. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 2 floors. This Apartment is available at a reasonable price of Rs 90.0 L. Maintenance charges in this property is Rs 1700. The built up area of this property is 938 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as MCC Matriculation Higher Secondary School, Lady Andal Venkatasubbarao Matriculation Schoo...",3,Yes
Vasantham,3,114.99999999999999,"Maruthi Nagar, Sembakkam,Chennai",1712,"Property for sale in Sembakkam, Chennai. This 3 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 1.15 Cr. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 1712 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Parvathy Hospital, New Life Hospital, and Bethesda Hospital. Schools like...",3,Yes
"Padupakkam, Triplicane,Chennai",4,239.0,"Padupakkam, Triplicane,Chennai",1328,"Excellent property in the heart of the city. Best for Self-occupation with family, commercial, and residential rental home. Best property if this is rebuilt with most modern amenities  More About This Property 4 BHK Independent House for sale in Chennai. This property is in Triplicane, which is a coveted investment location. This tastefully designed 4 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 4 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 2.39 Cr. Monthly maintenance charges c...",3,Yes
TVH Svaya,2,30.0,"Pennalur, Chennai",1085,"Property for sale in Irungattukottai, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 4. This Apartment's price is Rs 30.0 L. Homebuyers will also need to pay Rs 2000 towards maintenance. This Apartment is a spacious unit, with carpet area of 860 Square feet and is ideal for families. The built-up area is 1085 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of f...",3,Yes
"Singaperumal Koil, Chennai",1,27.28,"Singaperumal Koil, Chennai",880,"1 BHK Independent House for sale in Singaperumal Koil, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Singaperumal Koil which is a promising investment destination in Chennai. This might be your chance to grab the best 1 BHK property for sale in Singaperumal Koil. This 1 BHK Independent House is available at a reasonable price of Rs 27.28 L. Residents also need to pay maintenance charges of Rs 100. It is a very spacious property, spread over 200 Square feet. The built-up area is 880 Square feet. This prop...",3,Yes
Hiranandani Parks Apartment,3,70.0,"Oragadam Sriperambattur, Chennai",1450,"3 BHK Apartment for sale in Oragadam, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Oragadam which is a promising investment destination in Chennai. This might be your chance to grab the best 3 BHK property for sale in Oragadam. The property is on floor 10 and the total number of floors is 27. This 3 BHK Apartment is available at a reasonable price of Rs 70.0 L. Residents also need to pay maintenance charges of Rs 7700. It is a very spacious property, spread over 1250 Square feet. The built-up area is 1450 Squar...",3,Yes
Alliance Jasmine Springs,1,28.0,"Kelambakkam, Chennai",462,"Property for sale in Ramalingapuram, Chennai. This 1 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 15. This Apartment's price is Rs 30.0 L. The built-up area is 462 Square feet. The property has 1 bedroom and 1 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Chettinad Health City, Jain Temple, and Prudent Dental Care. Schools like Kidzee Padur & Kelambakkam, AJ School, and St.mary Matr...",2,No
"RC NAVARATHNAM ,Sembiyan, Perambur,Chennai",2,93.0,"RC NAVARATHNAM ,Sembiyan, Perambur,Chennai",900,"Located in the popular residential address near Perambur, in JAWAHAR NAGAR, PERAVALLUR, Chennai North, Rajarathnam RC Navarathnam is one of the most preferred destination for apartments in Chennai north. This 2 BHK flat is your ticket to be a part of this community. Containing 2 bathrooms and 1 balcony, this apartment is spread over an Super built up area
 of 900 sq.ft.. This flat lies on the 2nd level of a 3 storey apartment building. This 0-1 year(s) old property is available for immediate possession as the project is ready to move. This flat is well ventilated and it located at just a 12 mi...",3,No
Plaza Pristine Acres,2,45.0,"Nesamani Nagar, Perumbakkam,Chennai",904,"Looking for a 2 BHK Apartment for sale in Chennai? Your search ends here. Buy this 2 BHK property in Chennai's finest location, Perumbakkam. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 4 floors. This Apartment is available at a reasonable price of Rs 45.0 L. Maintenance charges in this property is Rs 1800. The built up area of this property is 904 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Gayathri Vidhyalaya, Government Middle School, and Zigma Matriculation School. Medical fa...",3,No
Swathy Ayyappa Flats,2,65.0,"Kumaran Nagar, Kilpauk,Chennai",940,"2 Bed Flat 940 sq ft for sale in Kumaran Nagar, Anna Nagar East across Ayanavaram, Gujji 2nd Street, Walkable from New Avadi Road, Excellent connectivity, Close to Metro Water Tank, 2008 Constructed, One Large Balcony and well ventilated, South facing, First Floor, No Lift, No Car Parking, Bore Water Available in addition to Metro Water, 10 flats in the Apartment  all owner occupied, Flat available for viewing on Sundays anytime and Other Days after 4 PM only as Tenant is staying in the Flat. Whatspp for more details and for viewing the flat. Price negotiable. More About This Property One of t...",3,No
"Tirupathi Nagar, Valasaravakkam,Chennai",5,513.0,"Tirupathi Nagar, Valasaravakkam,Chennai",5400,"5 BHK Independent House for sale in Valasaravakkam, Chennai. This 5 BHK unit is available in Valasaravakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Valasaravakkam. The price of this Independent House is Rs 5.13 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Independent House unit with carpet area of 5200 Square feet. The built-up area is 5400 Square feet. There are 5 bedrooms and 4 bathroom. Th...",5,Yes
Narayanan Nagar,2,43.75,"Ambattur, Chennai",795,"One of the finest property in Korattur is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 2. It is a 2 storeyed building. The price of this Apartment is Rs 43.75 L. This Apartment is spacious with a built-up area of 795 Square feet. It is a East-facing property with a good view. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as St Moses Matriculation Higher Secondary School, Corporation School, and Muncipal Corporation Primary School. It is also close to goo...",2,Yes
Royal,2,69.0,"Anthony Nagar, Kolathur,Chennai",990,"walkable from papermills road annasalai bus stop. 5 mins to everwin, vivekananda,donbosco schools. easy connectivity to Perambur,retteri,annanagar, koyambedu. More About This Property One of the finest property in Lakshmipuram is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 3 storeyed building. The price of this Apartment is Rs 69.0 L. This Apartment is spacious with a built-up area of 990 Square feet. The carpet area is 850 Square feet. It is a East-facing property with a good view. There are 2 bedrooms and 2 bathroom...",3,Yes
Amarprakash Temple Waves,2,45.0,"Thandalam, Chennai",630,"One of the finest property in Thandalam is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 6. It is a 7 storeyed building. The price of this Apartment is Rs 45.0 L. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 630 Square feet. There are 2 bedrooms and 1 bathroom. This property ensures you are a quick distance away from the city's best schools such as Sivanthi School, Peace On Green Earth Public School, and Peace On Green Earth Public School (...",2,No
Golden Jubilee Flats,3,100.0,"Thirumangalam, Anna Nagar West,Chennai",1100,"Check out this 3 BHK Apartment for sale in Anna Nagar West Extension, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Anna Nagar West Extension is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 3. The property's price is Rs 1.0 Cr. Residents in this property pay Rs 500 towards maintenance. This property is a modern-day abode, with 1100 Square feet ...",3,Yes
 Madambakkam,2,29.5,"Madambakkam, Chennai",598,"2 BHK Apartment for sale in Chennai. This property is in Madambakkam, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 1. The price of the Apartment is Rs 32.0 L. Monthly maintenance charges come to Rs 50. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 598 Square feet. ...",2,Yes
"Nerkundram, Mogappair,Chennai",2,72.0,"Nerkundram, Mogappair,Chennai",918,"2Bhk, 1 dining, 1 Hall, 2 bathroom , 2 Balcony, 1 car parking in a prime location More About This Property One of the finest property in Mogappair is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 4 storeyed building. The price of this Apartment is Rs 72.0 L. This Apartment is spacious with a built-up area of 918 Square feet. It is a East-facing property with a good view. There are 2 bedrooms and 2 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. This pro...",3,No
"Ambattur, Chennai",4,378.0,"Ambattur, Chennai",3300,"One of the finest property in Ambattur is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 3.78 Cr. This Independent House is spacious with a built-up area of 3300 Square feet. There are 4 bedrooms and 4 bathroom. This property ensures you are a quick distance away from the city's best schools such as Bapuji Matric Higher Secondary School, PJ Gupta Middle School, and Sir Ramaswami Mudaliar Higher Secondary School. It is also close to good and reputed hospitals like Mother's Speciality Hospital, Sir ...",1,Yes
"Kamakshi Nagar, Anakaputhur,Chennai",1,15.0,"Kamakshi Nagar, Anakaputhur,Chennai",490,"A 1 BHK Apartment for sale in Anakaputhur, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Anakaputhur's most desired properties. Contact now for more information. This 1 BHK unit is on floor 0. There are 1 floors in this property. The price of this Apartment is Rs 15.0 L. Maintenance charges come to Rs 300. Each unit has a built-up area of 490 Square feet. The carpet area is 190 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near Pephip Dance School, Uncles Prgun...",2,Yes
Prestige Bella Vista,3,130.0,"Iyyappanthangal, Chennai",1791,"Check out this 3 BHK Apartment for sale in Kattupakkam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Kattupakkam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 5. The total number of floors in this project is 16. The property's price is Rs 1.3 Cr. Residents in this property pay Rs 7000 towards maintenance. This property is a modern-day abode, with 1791 Square feet built-up area. The unit ha...",3,Yes
Arun Excello Excello Town House,1,18.0,"Oragadam Sriperambattur, Chennai",500,"Check out this 1 RK Apartment for sale in Valathancheri, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 1 RK Apartment is perfect for a modern-day lifestyle. Valathancheri is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 1. The property's price is Rs 18.0 L. This property is a modern-day abode, with 500 Square feet built-up area. The unit has 1 bedroom and 1 bathroom. Educational institutions are clo...",2,No
Rajparis Harmony,3,78.0,"Medavakkam, Chennai",1512,"One of the finest property in Medavakkam is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 0. It is a 1 storeyed building. The price of this Apartment is Rs 78.0 L. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 1512 Square feet. It is a North-facing property with a good view. There are 3 bedrooms and 3 bathroom. Lift facility is also available. Other facilities include Garden. This property also enjoys power backup facility. This project has reg...",3,No
"BHARATHI ,Thirumullaivoyal, Chennai",2,48.5,"BHARATHI ,Thirumullaivoyal, Chennai",967,"A 2 BHK Apartment for sale in Thirumullaivoyal, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Thirumullaivoyal's most desired properties. Contact now for more information. This 2 BHK unit is on floor 1. There are 3 floors in this property. The price of this Apartment is Rs 48.5 L. Maintenance charges come to Rs 500. Each unit has a built-up area of 967 Square feet. The carpet area is 842 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Venkateswara School, G...",3,Yes
"Ponmar, Chennai",2,72.0,"Ponmar, Chennai",1669,"2 BHK Villa for sale in Chennai. This property is in Moolacheri, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. The price of the Villa is Rs 72.0 L. Monthly maintenance charges come to Rs 1700. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1669 Square feet. It has 3 bathroom and 2 bedrooms. Some of the very well-known and reputed speciality hospitals li...",3,Yes
"Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",2,36.0,"Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1065,"One of the finest property in Kolapakam is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 3 storeyed building. The price of this Apartment is Rs 36.0 L. Other charges when you move into this property include maintenance, which is Rs 500. This Apartment is spacious with a built-up area of 1065 Square feet. The carpet area is 900 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Lalaji Memorial Omega International School, Kolapakkam Go...",3,No
