Name,Bedrooms,Price,Location,Total_Area,Description,Baths,Balcony
DRA 90 Degrees,3,130.0,"Rose Avenue, Pallikaranai,Chennai",1444,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Pallikaranai. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 11 floors. This Apartment is available at a reasonable price of Rs 1.3 Cr. Maintenance charges in this property is Rs 6500. The built up area of this property is 1444 Square feet. There are 3 bedrooms and 3 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities like Gym, Garden, Sports Fac...",3,No
"Ramakrishna Puram, West Mambalam,Chennai",6,850.0,"Ramakrishna Puram, West Mambalam,Chennai",6000,"Looking for a 6 BHK Villa for sale in Chennai? Your search ends here. Buy this 6 BHK property in Chennai's finest location, West Mambalam. This is an owner listed property and there is no brokerage involved. This Villa is available at a reasonable price of Rs 8.5 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 6000 Square feet. There are 6 bedrooms and 6 bathroom. There are a number of reputed schools in the vicinity such as Chennais Amirta International Institute Of Hotel Management, Padma Seshadri Bala Bhavan Senior Secondary School, and Hindu Vidhy...",1,Yes
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",2,114.99999999999999,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",878,"13a,4th Street, Ragavan colony, Ashok Nagar, Chennai-83 (near to r6 police station) More About This Property A 2 BHK Apartment for sale in Ashok Nagar, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Ashok Nagar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 1.15 Cr. Maintenance charges come to Rs 1000. Each unit has a built-up area of 878 Square feet. The carpet area is 672 Square feet. This South-f...",3,Yes
"Chimaera Apartments,Madambakkam, Chennai",2,49.0,"Chimaera Apartments,Madambakkam, Chennai",944,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Chennai's top location, Madambakkam. It is situated on floor 1. The total number of floors in this Apartment is 2. The property price of this unit is Rs 49.0 L. Monthly maintenance costs Rs 750. The carpet area of this unit is 650 Square feet. The built-up area is 944 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to KVN Vethathiri Matric School, St.John's M...",3,No
SSM Nagar,3,57.0,"Perungalathur, Chennai",1317,"Situated at Alapakkam, New Perungalathur. SURROUNDED by well established schools & colleges. Tambaram eastern bypass is very close and surrounded by nature and serene.  More About This Property Looking for a good 3 BHK Apartment in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 4. Maintenance charges of this property is Rs 3108. This Apartment is available for Rs 57.0 L. This modern unit has a built-up area of 1317 Square feet. The carpet area of this Apartment is 86...",3,No
"ARUN EXCELLO ,Padappai, Chennai",2,25.0,"ARUN EXCELLO ,Padappai, Chennai",820,"Check out this 2 BHK Apartment for sale in Padappai, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Padappai is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 2. The property's price is Rs 25.0 L. Residents in this property pay Rs 1300 towards maintenance. This property is a modern-day abode, with 820 Square feet built-up area. The unit has 2 bedr...",3,No
Ramcons Dominion,3,260.0,"Tirumurthy Nagar, Nungambakkam,Chennai",1658,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Nungambakkam. It is situated on floor 3. The total number of floors in this Apartment is 3. The property price of this unit is Rs 2.8 Cr. Monthly maintenance costs Rs 7500. The built-up area is 1658 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Lady Andal Venkatasubbarao Matriculation School, MCC Matriculation Higher Secondary Sch...",3,Yes
VGN Coasta,4,297.0,"Muttukadu, Chennai",4200,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Muttukadu. It is situated on floor 5. The total number of floors in this Apartment is 15. The property price of this unit is Rs 2.97 Cr. Monthly maintenance costs Rs 14000. The built-up area is 4200 Square feet. There are 4 bedrooms and 5 bathroom. This property enjoys a good view and is North-facing. This property in Muttukadu, Chennai has lift facility as well. It is a safe premise with cctv facility. Other amenit...",5,Yes
"Ramanathan Nagar, Pozhichalur,Chennai",2,162.0,"Ramanathan Nagar, Pozhichalur,Chennai",2838,"2 BHK Independent House for sale in Pozhichalur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Pozhichalur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Pozhichalur. This 2 BHK Independent House is available at a reasonable price of Rs 1.62 Cr. The built-up area is 2838 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Deepam Hos...",4,Yes
CasaGrand Vistaaz,3,108.0,"Kolapakkam - Vandalur, Chennai",1566,"Close to Shriram IT Gateway and New Kilambakkam Bus Stand More About This Property Looking for a good 3 BHK Villa in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. This Villa is available for Rs 1.08 Cr. This modern unit has a built-up area of 1566 Square feet. This property has a good view and is South-East-facing. There are 3 bedrooms and 3 bathroom. This is a gated community. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden, Sports Facility, Swimming Pool, Clubh...",3,No
